IdTransakcji	IdProduktu	Cena	Liczba
1	67	5	9
1	40	3	9
1	61	3	3
2	12	28	4
3	60	20	12
4	33	17	8
5	23	5,85	5
5	58	9,45	15
6	81	13,7	10
7	42	6,3	8
8	4	5,2	14
9	43	5	15
10	88	8	3
11	22	12,5	13
12	53	12	7
13	66	26,5	9
14	34	9,47	11
14	6	5,57	6
14	8	5,57	13
14	9	5,57	15
14	85	15,79	6
15	77	15	5
16	3	3,5	15
16	7	3,5	13
17	62	15	9
17	66	4	8
18	17	15,4	2
18	31	17	14
19	66	2,5	11
20	2	6,4	2
20	57	7,6	4
21	23	6,5	9
22	67	18,5	12
23	4	5,2	10
24	32	8	14
25	53	7	11
26	43	17	5
27	62	6,7	12
27	61	6,7	12
28	3	4,8	6
29	1	7	1
30	70	3,75	11
31	56	21,7	10
32	42	7,5	3
33	15	2,5	14
34	92	18,76	9
35	78	15	13
36	42	10,2	14
37	11	13,7	14
37	26	8,5	6
38	57	11,5	7
39	84	10,5	9
40	50	14,25	9
41	72	15,5	15
42	31	17	14
43	14	5,85	4
44	26	7,9	10
44	70	7,9	4
45	76	16,7	3
46	69	7	2
46	69	7	5
47	14	10,5	6
47	61	20,7	14
48	48	3,4	9
49	89	12	11
50	2	8	10
50	23	7,4	4
51	24	11,8	14
52	44	7	12
52	15	5	9
53	66	14,4	5
54	6	3,9	12
55	55	5	10
55	13	5	1
55	13	5	7
56	76	21,7	5
57	86	35	4
57	44	5	15
58	3	16,5	15
58	25	7	10
59	69	8,5	11
60	85	16,5	4
61	5	3,4	8
61	3	3,4	5
61	96	8	12
62	88	20	1
62	60	11,5	5
63	12	15,7	2
64	85	16,5	7
65	67	27	14
66	41	10,9	15
67	58	10	5
68	43	4	2
69	96	4,8	14
70	15	10	7
70	58	16,7	4
71	71	15,8	12
72	90	18	4
72	75	14,2	11
73	10	7	9
74	96	5	3
75	60	13,5	12
76	2	18,27	1
77	66	2,6	7
78	17	7,5	3
78	97	13,2	4
78	80	14,2	4
79	69	39,5	5
79	7	8	9
79	50	6	11
79	50	6	5
80	31	8	4
81	47	4,4	11
81	5	3,4	7
81	54	4,4	12
82	77	23,5	2
82	81	13,7	15
83	33	16,5	5
83	28	7	3
84	3	3,4	9
85	50	12	9
86	85	6,81	12
86	43	16,05	12
87	28	6,9	7
87	42	6,9	11
88	87	8,9	13
89	64	11	15
90	71	15,5	12
91	42	7	12
92	73	13,9	10
93	74	3,6	4
93	69	3,6	12
93	45	6,4	2
94	20	5,42	10
94	9	13,56	4
94	8	5,42	10
94	6	21,6904	2
94	8	3,02	13
94	56	4,65	1
94	61	4,65	5
95	62	5	3
96	45	8	5
96	62	15,5	9
97	53	8,16	7
98	21	24,5	13
99	79	4	11
99	35	3,4	1
100	43	18,9	9
100	89	13,5	7
101	23	10,9	5
102	30	16,4	10
103	60	15	15
104	87	7	4
104	84	20	5
105	84	12,73	7
106	82	6,3	2
106	51	10,98	5
106	42	6,3	1
107	5	3,9	10
107	42	8,3	5
108	14	5	5
108	9	12	13
109	85	12,8	9
110	50	6	14
111	37	18,9	15
112	45	17,5	11
113	72	6	2
114	37	13,9	14
115	15	14,4	6
116	39	7	8
117	20	15,4	12
118	83	28,5	5
119	73	13	12
120	82	20	11
121	68	10	14
121	58	11,75	10
122	85	10	3
123	18	18,5	15
124	69	7	6
125	3	8	12
125	32	8	7
126	22	11,6	2
127	6	39,5	3
127	5	39,5	5
128	5	12,5	6
129	54	12,64	5
129	15	13,5	13
129	26	9,5	3
130	64	19	9
131	94	11,6	1
131	50	12,1	9
132	42	7,2	11
133	55	7	3
133	12	8	14
134	45	5	2
135	53	12	6
136	28	8,5	12
137	5	11,6	10
138	62	18,9	5
139	15	5	14
140	71	10,5	11
141	97	13,4	4
142	50	15,5	2
143	2	7,5	8
144	65	15	13
144	69	15	13
144	72	6	12
144	58	6	13
145	50	14,6	10
146	31	16,5	10
147	84	24,5	14
148	54	10,2	1
149	14	6,5	13
149	8	6,5	9
150	2	11,3	3
151	50	8	15
151	38	8	12
152	6	3,9	7
153	54	11,5	6
154	91	12	15
155	49	3,4	10
155	81	4,6	8
156	85	18	2
157	78	15	14
158	28	4	8
159	6	8,5	13
160	15	39,5	11
161	59	7,5	14
161	71	4,6	9
162	16	8,57	15
162	86	5,53	14
162	4	5,53	7
163	89	25	9
164	45	16,5	9
165	58	16,5	13
