ccbcb bcc
cbcab acb
aba aab
acbca ccc
cccbba aab
bbabac bbac
cgfdddfc ecfefdded
eecceedddecedecdecdd eededdc
eeceeeccdedddeee edc
ceced edeeecedcdddedddce
eddcd eededcddceeecededcc
ccccdcedddddecde ccdcdddecc
eddcdceccece ccccddedc
cdcedcdceeec cdddcededec
ececdddeed dddeedd
dccedccdccdccc eeceedeee
eeecdc edccccdcc
cddcedc cddcddccdddecddc
dcddcd decceecceddceeeecde
oyxt eldujoghso
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
aaaa aaaa
