Data	Temp	Opady
2022-01-01	9,8	5
2022-01-02	8,1	1
2022-01-03	9	2
2022-01-04	7,3	1
2022-01-05	5,7	5
2022-01-06	1,7	0
2022-01-07	-1,4	0
2022-01-08	-1,5	0
2022-01-09	-1,2	0
2022-01-10	-3,8	0
2022-01-11	-2,7	0
2022-01-12	-3,9	0
2022-01-13	1,6	0
2022-01-14	3,1	0
2022-01-15	1,2	0
2022-01-16	-0,8	0
2022-01-17	1,8	1
2022-01-18	-0,2	0
2022-01-19	1	0
2022-01-20	0,5	1
2022-01-21	-2,4	0
2022-01-22	-2,5	0
2022-01-23	-3,1	0
2022-01-24	-6,6	0
2022-01-25	0,2	0
2022-01-26	1,6	1
2022-01-27	1,6	2
2022-01-28	2,2	3
2022-01-29	1,6	0
2022-01-30	4	6
2022-01-31	1,7	0
2022-02-01	0,8	0
2022-02-02	2	8
2022-02-03	0,4	1
2022-02-04	2,1	1
2022-02-05	3,4	0
2022-02-06	4,5	0
2022-02-07	3,6	0
2022-02-08	3,6	1
2022-02-09	6,8	2
2022-02-10	6,8	0
2022-02-11	5,8	0
2022-02-12	1,3	0
2022-02-13	2,3	0
2022-02-14	4,5	0
2022-02-15	5,6	0
2022-02-16	6,4	0
2022-02-17	7,4	9
2022-02-18	6,9	0
2022-02-19	8,8	0
2022-02-20	5,2	0
2022-02-21	7,2	1
2022-02-22	4,6	0
2022-02-23	4,6	0
2022-02-24	5,2	0
2022-02-25	3,9	0
2022-02-26	1,9	0
2022-02-27	1,2	0
2022-02-28	-0,9	0
2022-03-01	-1,4	0
2022-03-02	0,3	0
2022-03-03	2	0
2022-03-04	0,6	0
2022-03-05	0,7	0
2022-03-06	0	0
2022-03-07	0	0
2022-03-08	1,3	0
2022-03-09	2	2
2022-03-10	-1,6	0
2022-03-11	-2,6	0
2022-03-12	-0,2	0
2022-03-13	3,1	0
2022-03-14	5,5	0
2022-03-15	8,6	0
2022-03-16	7,8	0
2022-03-17	3,7	0
2022-03-18	3	0
2022-03-19	2,1	0
2022-03-20	3,2	0
2022-03-21	4,9	0
2022-03-22	7,8	0
2022-03-23	9,2	0
2022-03-24	7,2	0
2022-03-25	8,5	0
2022-03-26	10,2	0
2022-03-27	5,7	0
2022-03-28	10,3	0
2022-03-29	11,4	0
2022-03-30	8,5	3
2022-03-31	3,9	11
2022-04-01	1	13
2022-04-02	-0,1	0
2022-04-03	0,2	2
2022-04-04	2,8	0
2022-04-05	5,7	1
2022-04-06	11,6	0
2022-04-07	14,3	0
2022-04-08	11,3	4
2022-04-09	5,8	1
2022-04-10	4,3	0
2022-04-11	3,6	0
2022-04-12	6,8	0
2022-04-13	9,2	0
2022-04-14	13,9	0
2022-04-15	11,3	2
2022-04-16	6,9	4
2022-04-17	6,2	0
2022-04-18	5,4	0
2022-04-19	5,3	0
2022-04-20	4,7	0
2022-04-21	7,7	0
2022-04-22	7,7	0
2022-04-23	8,6	0
2022-04-24	9,4	0
2022-04-25	11,1	18
2022-04-26	9,5	0
2022-04-27	9,8	0
2022-04-28	12,1	0
2022-04-29	11,1	0
2022-04-30	3,9	11
2022-05-01	12,8	0
2022-05-02	14,4	0
2022-05-03	15,3	0
2022-05-04	15,4	0
2022-05-05	16,1	0
2022-05-06	14,9	0
2022-05-07	16	0
2022-05-08	16,3	0
2022-05-09	15,5	0
2022-05-10	15	0
2022-05-11	18,6	0
2022-05-12	22,2	0
2022-05-13	17,4	0
2022-05-14	16,2	0
2022-05-15	16,4	0
2022-05-16	15,9	0
2022-05-17	15,8	0
2022-05-18	12,4	0
2022-05-19	16	0
2022-05-20	20,3	0
2022-05-21	19,8	1
2022-05-22	14,1	0
2022-05-23	13,1	0
2022-05-24	16,1	0
2022-05-25	16,1	0
2022-05-26	16,7	0
2022-05-27	16	0
2022-05-28	12,3	0
2022-05-29	13,3	0
2022-05-30	14,2	1
2022-05-31	17,2	0
2022-06-01	19	0
2022-06-02	16,9	1
2022-06-03	18,4	0
2022-06-04	17,5	0
2022-06-05	19,9	0
2022-06-06	21	0
2022-06-07	22,7	0
2022-06-08	19,2	0
2022-06-09	18,6	43
2022-06-10	18,4	0
2022-06-11	19,4	0
2022-06-12	19,9	0
2022-06-13	18,1	7
2022-06-14	15,3	0
2022-06-15	16,1	0
2022-06-16	18,2	15
2022-06-17	17,9	0
2022-06-18	20,1	0
2022-06-19	24,6	0
2022-06-20	24,7	0
2022-06-21	16,4	0
2022-06-22	18,7	0
2022-06-23	19,1	0
2022-06-24	21,4	0
2022-06-25	24,4	0
2022-06-26	24,1	0
2022-06-27	26,1	0
2022-06-28	24,6	1
2022-06-29	24,9	0
2022-06-30	29	0
2022-07-01	29,9	0
2022-07-02	19,7	0
2022-07-03	21,6	0
2022-07-04	24,1	0
2022-07-05	19,8	17
2022-07-06	17,6	21
2022-07-07	18,2	0
2022-07-08	17,4	0
2022-07-09	17,9	0
2022-07-10	16,1	4
2022-07-11	14	3
2022-07-12	16,3	2
2022-07-13	21,7	0
2022-07-14	23,2	4
2022-07-15	19,1	2
2022-07-16	16,1	0
