IdTransakcji	DataTransakcji	IdKlienta	IdSklepu	IdSprzedawcy
1	01.01.2025	1814	12	160
2	01.02.2025	550	4	125
3	01.03.2025	1408	16	65
4	01.04.2025	1146	14	33
5	01.05.2025	630	9	
6	01.06.2025	1011	12	120
7	01.01.2025	710	6	65
8	01.02.2025	1885	25	19
9	01.03.2025	1161	12	120
10	02.04.2025	1963	25	61
11	02.05.2025	2028	30	147
12	02.06.2025	638	10	154
13	02.01.2025	829	8	19
14	02.02.2025	501	4	149
15	02.03.2025	1132	12	120
16	02.04.2025	1978	25	61
17	02.05.2025	2010	30	169
18	02.06.2025	909	13	127
19	02.01.2025	1813	25	14
20	02.02.2025	1056	12	120
21	02.03.2025	667	9	26
22	02.04.2025	1143	12	
23	02.05.2025	1094	15	40
24	02.06.2025	116	1	122
25	02.01.2025	2015	28	34
26	02.02.2025	2042	31	89
27	02.03.2025	1089	12	150
28	02.04.2025	820	9	160
29	02.05.2025	1657	18	55
30	02.06.2025	687	7	193
31	02.01.2025	190	1	122
32	02.02.2025	1409	16	161
33	02.03.2025	1751	20	131
34	02.04.2025	1843	22	78
35	02.05.2025	775	6	190
36	02.06.2025	1120	12	178
37	02.01.2025	303	5	
38	02.02.2025	1137	12	68
39	02.03.2025	1891	22	124
40	02.04.2025	588	5	64
41	02.05.2025	1937	22	188
42	02.06.2025	1925	22	141
43	02.01.2025	2016	26	57
44	02.02.2025	1161	11	132
45	02.03.2025	1862	23	59
46	02.04.2025	944	12	
47	02.05.2025	647	9	35
48	02.06.2025	1677	20	
49	02.01.2025	775	10	12
50	02.02.2025	392	5	145
51	02.03.2025	1871	21	
52	02.04.2025	1014	11	28
53	02.05.2025	999	14	153
54	02.06.2025	2021	26	160
55	02.01.2025	806	10	103
56	02.02.2025	1618	18	
57	02.03.2025	687	10	2
58	02.04.2025	939	11	
59	02.05.2025	1886	21	51
60	02.06.2025	1664	19	
61	02.01.2025	825	10	37
62	02.02.2025	251	2	136
63	02.03.2025	329	4	158
64	02.04.2025	2008	27	
65	02.05.2025	1921	24	129
66	02.06.2025	1001	11	182
67	02.01.2025	1649	20	
68	02.02.2025	692	10	39
69	02.03.2025	1870	22	115
70	02.04.2025	1846	21	155
71	02.05.2025	382	4	149
72	02.06.2025	1008	13	185
73	02.01.2025	580	3	58
74	02.02.2025	597	3	151
75	02.03.2025	922	12	39
76	02.04.2025	824	10	
77	02.05.2025	1149	12	31
78	02.06.2025	1040	12	120
79	02.01.2025	735	10	186
80	02.02.2025	1176	13	143
81	02.03.2025	1870	25	61
82	02.04.2025	523	3	23
83	02.05.2025	1999	25	
84	02.06.2025	1742	20	
85	02.01.2025	1862	22	
86	02.02.2025	786	8	
87	02.03.2025	1959	23	
88	02.04.2025	788	10	60
89	02.05.2025	346	4	25
90	02.06.2025	1952	23	59
91	02.01.2025	966	13	88
92	02.02.2025	360	5	64
93	02.03.2025	396	3	63
94	02.04.2025	1654	19	92
95	02.05.2025	2006	28	
96	02.06.2025	1809	22	67
97	02.01.2025	2019	27	
98	02.02.2025	2028	31	89
99	02.03.2025	608	10	
100	03.04.2025	2007	31	166
101	03.05.2025	2017	31	89
102	03.06.2025	2021	27	45
103	03.01.2025	1222	17	134
104	03.02.2025	2020	2	36
105	03.03.2025	600	5	20
106	03.04.2025	685	10	
107	03.05.2025	2010	28	22
108	03.06.2025	2002	29	70
109	03.01.2025	712	10	2
110	03.02.2025	1542	20	
111	03.03.2025	722	10	119
112	03.04.2025	790	8	17
113	03.05.2025	1949	25	189
114	03.06.2025	696	7	71
115	03.01.2025	2018	26	125
116	03.02.2025	718	25	19
117	03.03.2025	299	2	184
118	03.04.2025	979	12	148
119	03.05.2025	492	3	191
120	03.06.2025	375	2	36
121	03.01.2025	871	10	133
122	03.02.2025	2044	30	169
123	03.03.2025	1109	11	132
124	03.04.2025	693	6	65
125	03.05.2025	1882	21	87
126	03.06.2025	1052	14	153
127	03.01.2025	1623	12	160
128	03.02.2025	945	11	156
129	03.03.2025	2023	26	57
130	03.04.2025	2037	27	94
131	03.05.2025	2026	26	10
132	03.06.2025	1903	25	91
133	03.01.2025	1675	18	55
134	03.02.2025	116	1	122
135	03.03.2025	406	3	91
136	03.04.2025	1101	15	172
137	03.05.2025	1602	18	135
138	03.06.2025	973	11	182
139	03.01.2025	975	15	83
140	03.02.2025	1088	13	159
141	03.03.2025	988	11	182
142	03.04.2025	1167	12	120
143	03.05.2025	2025	27	45
144	03.06.2025	1741	20	
145	03.01.2025	1826	25	19
146	03.02.2025	353	5	
147	03.03.2025	616	10	37
148	03.04.2025	2033	30	167
149	03.05.2025	1858	23	59
150	03.06.2025	846	10	72
151	03.01.2025	685	8	86
152	03.02.2025	1821	25	189
153	03.03.2025	1088	13	
154	03.04.2025	1098	13	54
155	03.05.2025	887	7	
156	03.06.2025	542	3	144
157	03.01.2025	1703	20	
158	03.02.2025	435	3	143
159	03.03.2025	2026	27	144
160	03.04.2025	894	10	133
161	03.05.2025	2043	29	70
162	03.06.2025	1273	16	98
163	03.01.2025	917	12	120
164	03.02.2025	1978	25	
165	03.03.2025	353	3	3
166	03.04.2025	678	6	
167	03.05.2025	936	12	4
168	03.06.2025	1380	17	134
169	03.01.2025	343	3	143
170	03.02.2025	1021	14	153
171	03.03.2025	733	8	
172	03.04.2025	608	8	152
173	03.05.2025	984	14	82
174	03.06.2025	1108	14	153
175	03.01.2025	1895	25	30
176	03.02.2025	739	8	17
177	03.03.2025	718	8	183
178	03.04.2025	1165	14	188
179	03.05.2025	478	3	144
180	03.06.2025	1363	16	98
181	03.01.2025	1312	16	65
182	03.02.2025	1104	12	120
183	03.03.2025	2042	31	16
184	03.04.2025	1077	13	159
185	03.05.2025	2009	30	62
186	03.06.2025	418	3	
187	03.01.2025	1942	21	87
188	03.02.2025	419	3	91
189	03.03.2025	1929	25	8
190	03.04.2025	840	10	37
191	03.05.2025	1893	22	
192	03.06.2025	964	12	31
193	03.01.2025	580	5	64
194	03.02.2025	1069	13	168
195	03.03.2025	1099	12	104
196	03.04.2025	223	1	
197	03.05.2025	447	5	11
198	03.06.2025	513	4	
199	03.01.2025	1056	15	73
200	03.02.2025	1190	15	40
201	03.03.2025	1979	25	112
202	03.04.2025	1821	25	111
203	03.05.2025	1000	12	120
204	03.06.2025	130	2	105
205	03.01.2025	3	2	
206	03.02.2025	1875	21	101
207	03.03.2025	61	2	
208	03.04.2025	339	4	36
209	03.05.2025	1174	12	120
210	03.06.2025	147	2	136
211	03.01.2025	661	8	
212	03.02.2025	1864	21	
213	03.03.2025	989	12	
214	03.04.2025	957	11	132
215	03.05.2025	733	8	
216	03.06.2025	1365	16	166
217	03.01.2025	837	6	116
218	03.02.2025	1976	23	59
219	03.03.2025	2007	30	10
220	03.04.2025	1113	12	104
221	03.05.2025	1434	16	176
222	03.06.2025	346	4	149
223	03.01.2025	2001	29	74
224	03.02.2025	302	4	18
225	03.03.2025	1007	12	29
226	03.04.2025	81	1	122
227	03.05.2025	1824	22	141
228	03.06.2025	1718	20	
229	03.01.2025	489	4	149
230	03.02.2025	817	13	160
231	03.03.2025	2004	27	4
232	03.04.2025	1999	23	59
233	03.05.2025	315	4	25
234	03.06.2025	988	13	185
235	03.01.2025	1853	25	8
236	03.02.2025	1026	12	120
237	03.03.2025	1612	20	
238	03.04.2025	1055	13	160
239	03.05.2025	1920	21	100
240	03.06.2025	350	5	11
241	03.01.2025	1851	25	8
242	03.02.2025	192	2	184
243	03.03.2025	932	14	180
244	03.04.2025	1017	14	188
245	03.05.2025	976	12	120
246	03.06.2025	342	3	
247	03.01.2025	98	2	136
248	03.02.2025	873	8	
249	03.03.2025	503	3	114
250	03.04.2025	1104	12	4
251	03.05.2025	484	4	166
252	02.01.2025	1820	25	14
253	03.01.2025	1860	25	56
254	03.02.2025	2017	30	60
255	03.03.2025	963	13	127
256	03.04.2025	1089	12	120
257	03.05.2025	939	14	38
258	03.06.2025	1105	13	185
259	03.01.2025	1869	25	111
260	03.02.2025	1518	20	
261	03.03.2025	1290	16	65
262	03.04.2025	2015	26	110
263	03.05.2025	1235	16	121
264	03.06.2025	1516	19	92
265	03.01.2025	1049	12	120
266	03.02.2025	2041	27	142
267	03.03.2025	603	8	
268	03.04.2025	1784	20	
269	03.05.2025	382	3	191
270	03.06.2025	1048	13	168
271	03.01.2025	2018	29	173
272	03.02.2025	881	8	183
273	03.03.2025	1913	25	111
274	03.04.2025	1159	12	29
275	03.05.2025	609	8	
276	03.06.2025	946	13	168
277	03.01.2025	631	8	139
278	03.02.2025	1765	18	55
279	03.03.2025	1155	11	28
280	03.04.2025	1154	11	156
281	03.05.2025	1442	16	50
282	03.06.2025	966	11	156
283	03.01.2025	1339	17	
284	03.02.2025	581	3	63
285	03.03.2025	1120	12	177
286	03.04.2025	2010	28	108
287	03.05.2025	1610	19	
288	03.06.2025	1089	12	104
289	03.01.2025	2026	30	167
290	03.02.2025	1633	19	92
291	03.03.2025	1840	25	43
292	03.04.2025	801	6	9
293	03.05.2025	120	2	136
294	03.06.2025	1860	3	23
295	03.01.2025	209	2	7
296	03.02.2025	1121	13	
297	03.03.2025	1184	14	180
298	03.04.2025	1583	18	
299	03.05.2025	1108	12	
300	03.06.2025	1966	24	187
301	03.01.2025	2040	26	157
302	03.02.2025	1441	16	176
303	03.03.2025	1809	22	141
304	03.04.2025	1999	25	30
305	03.05.2025	1678	18	55
306	03.06.2025	2034	31	162
307	03.01.2025	1017	11	132
308	03.02.2025	471	5	
309	03.03.2025	2003	26	47
310	03.04.2025	1640	19	49
311	03.05.2025	80	1	122
312	03.06.2025	1839	25	8
313	03.01.2025	503	5	20
314	03.02.2025	1859	21	87
315	03.03.2025	911	13	143
316	03.04.2025	491	5	
317	03.05.2025	1854	21	100
318	03.06.2025	915	12	120
